"Anio","Cve_estado","Estado","Tipo_delito","Casos"
"2015",1,"Aguascalientes","Aborto",5
"2015",1,"Aguascalientes","Abuso de confianza",419
"2015",1,"Aguascalientes","Abuso sexual",18
"2015",1,"Aguascalientes","Acoso sexual",0
"2015",1,"Aguascalientes","Allanamiento de morada",169
"2015",1,"Aguascalientes","Amenazas",1148
"2015",1,"Aguascalientes","Contra el medio ambiente",5
"2015",1,"Aguascalientes","Corrupcion de menores",57
"2015",1,"Aguascalientes","Daño a la propiedad",1860
"2015",1,"Aguascalientes","Delitos cometidos por servidores publicos",6
"2015",1,"Aguascalientes","Despojo",179
"2015",1,"Aguascalientes","Electorales",1
"2015",1,"Aguascalientes","Evasion de presos",0
"2015",1,"Aguascalientes","Extorsion",39
"2015",1,"Aguascalientes","Falsedad",100
"2015",1,"Aguascalientes","Falsificacion",308
"2015",1,"Aguascalientes","Feminicidio",0
"2015",1,"Aguascalientes","Fraude",1087
"2015",1,"Aguascalientes","Homicidio",211
"2015",1,"Aguascalientes","Hostigamiento sexual",11
"2015",1,"Aguascalientes","Incesto",2
"2015",1,"Aguascalientes","Incumplimiento de obligaciones de asistencia familiar",150
"2015",1,"Aguascalientes","Lesiones",3428
"2015",1,"Aguascalientes","Narcomenudeo",614
"2015",1,"Aguascalientes","Otros delitos contra el patrimonio",1
"2015",1,"Aguascalientes","Otros delitos contra la familia",63
"2015",1,"Aguascalientes","Otros delitos contra la sociedad",0
"2015",1,"Aguascalientes","Otros delitos del Fuero Comun",1614
"2015",1,"Aguascalientes","Otros delitos que atentan contra la libertad personal",61
"2015",1,"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual",252
"2015",1,"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal",70
"2015",1,"Aguascalientes","Rapto",0
"2015",1,"Aguascalientes","Robo",10719
"2015",1,"Aguascalientes","Secuestro",5
"2015",1,"Aguascalientes","Trafico de menores",0
"2015",1,"Aguascalientes","Trata de personas",2
"2015",1,"Aguascalientes","Violacion equiparada",41
"2015",1,"Aguascalientes","Violacion simple",84
"2015",1,"Aguascalientes","Violencia de genero en todas sus modalidades distinta a la violencia familiar",2
"2015",1,"Aguascalientes","Violencia familiar",481
"2016",1,"Aguascalientes","Aborto",7
"2016",1,"Aguascalientes","Abuso de confianza",394
"2016",1,"Aguascalientes","Abuso sexual",1
"2016",1,"Aguascalientes","Acoso sexual",0
"2016",1,"Aguascalientes","Allanamiento de morada",158
"2016",1,"Aguascalientes","Amenazas",1041
"2016",1,"Aguascalientes","Contra el medio ambiente",4
"2016",1,"Aguascalientes","Corrupcion de menores",64
"2016",1,"Aguascalientes","Daño a la propiedad",1577
"2016",1,"Aguascalientes","Delitos cometidos por servidores publicos",30
"2016",1,"Aguascalientes","Despojo",135
"2016",1,"Aguascalientes","Electorales",15
"2016",1,"Aguascalientes","Evasion de presos",0
"2016",1,"Aguascalientes","Extorsion",70
"2016",1,"Aguascalientes","Falsedad",56
"2016",1,"Aguascalientes","Falsificacion",237
"2016",1,"Aguascalientes","Feminicidio",0
"2016",1,"Aguascalientes","Fraude",557
"2016",1,"Aguascalientes","Homicidio",233
"2016",1,"Aguascalientes","Hostigamiento sexual",6
"2016",1,"Aguascalientes","Incesto",2
"2016",1,"Aguascalientes","Incumplimiento de obligaciones de asistencia familiar",101
"2016",1,"Aguascalientes","Lesiones",2771
"2016",1,"Aguascalientes","Narcomenudeo",717
"2016",1,"Aguascalientes","Otros delitos contra el patrimonio",0
"2016",1,"Aguascalientes","Otros delitos contra la familia",81
"2016",1,"Aguascalientes","Otros delitos contra la sociedad",0
"2016",1,"Aguascalientes","Otros delitos del Fuero Comun",2996
"2016",1,"Aguascalientes","Otros delitos que atentan contra la libertad personal",22
"2016",1,"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual",244
"2016",1,"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal",0
"2016",1,"Aguascalientes","Rapto",0
"2016",1,"Aguascalientes","Robo",11411
"2016",1,"Aguascalientes","Secuestro",2
"2016",1,"Aguascalientes","Trafico de menores",1
"2016",1,"Aguascalientes","Trata de personas",2
"2016",1,"Aguascalientes","Violacion equiparada",45
"2016",1,"Aguascalientes","Violacion simple",99
"2016",1,"Aguascalientes","Violencia de genero en todas sus modalidades distinta a la violencia familiar",4
"2016",1,"Aguascalientes","Violencia familiar",645
"2017",1,"Aguascalientes","Aborto",4
"2017",1,"Aguascalientes","Abuso de confianza",708
"2017",1,"Aguascalientes","Abuso sexual",0
"2017",1,"Aguascalientes","Acoso sexual",0
"2017",1,"Aguascalientes","Allanamiento de morada",405
"2017",1,"Aguascalientes","Amenazas",2308
"2017",1,"Aguascalientes","Contra el medio ambiente",1
"2017",1,"Aguascalientes","Corrupcion de menores",62
"2017",1,"Aguascalientes","Daño a la propiedad",3348
"2017",1,"Aguascalientes","Delitos cometidos por servidores publicos",46
"2017",1,"Aguascalientes","Despojo",279
"2017",1,"Aguascalientes","Electorales",2
"2017",1,"Aguascalientes","Evasion de presos",0
"2017",1,"Aguascalientes","Extorsion",121
"2017",1,"Aguascalientes","Falsedad",73
"2017",1,"Aguascalientes","Falsificacion",358
